Run 1:
      1024          0.000002050
      2048          0.000002900
      4096          0.000004275
      8192          0.000003640
     16384          0.000005966
     32768          0.000010283
     65536          0.000018729
    131072          0.000035689
    262144          0.000069721
    524288          0.000137091
   1048576          0.000271652
   2097152          0.000539699
   4194304          0.001076570
   8388608          0.002105940
  16777216          0.002890102
  33554432          0.004379822
  67108864          0.007396491
 134217728          0.013539738
 268435456          0.025887614
 536870912          0.049991816
1073741824          0.098887189

Run 12:
         8          0.000001619
        16          0.000001114
        32          0.000000989
        64          0.000000998
       128          0.000001053
       256          0.000001248
       512          0.000001563
      1024          0.000002101
      2048          0.000002891
      4096          0.000004169
      8192          0.000003926
     16384          0.000006430
     32768          0.000013673
     65536          0.000020176
    131072          0.000038379
    262144          0.000074821
    524288          0.000147280
   1048576          0.000291366
   2097152          0.000579938
   4194304          0.001158024
   8388608          0.002256353
  16777216          0.003088527
  33554432          0.004599292
  67108864          0.007774628
 134217728          0.014149342
 268435456          0.026871458
 536870912          0.052377533
1073741824          0.103272491

Run 13:
         8          0.000001586
        16          0.000001030
        32          0.000000999
        64          0.000001006
       128          0.000001051
       256          0.000001224
       512          0.000001591
      1024          0.000002259
      2048          0.000002956
      4096          0.000004421
      8192          0.000003951
     16384          0.000006527
     32768          0.000010941
     65536          0.000020056
    131072          0.000038194
    262144          0.000074467
    524288          0.000147269
   1048576          0.000291406
   2097152          0.000581593
   4194304          0.001154696
   8388608          0.002267573
  16777216          0.003071390
  33554432          0.004605238
  67108864          0.007821374
 134217728          0.014079959
 268435456          0.026897984
 536870912          0.052297750
1073741824          0.103780614

Run 14:
         8          0.000001734
        16          0.000001081
        32          0.000001287
        64          0.000001135
       128          0.000001192
       256          0.000001270
       512          0.000001668
      1024          0.000002375
      2048          0.000003170
      4096          0.000004756
      8192          0.000004166
     16384          0.000006802
     32768          0.000011824
     65536          0.000021882
    131072          0.000037772
    262144          0.000073402
    524288          0.000144568
   1048576          0.000285654
   2097152          0.000568099
   4194304          0.001133309
   8388608          0.002225359
  16777216          0.003038276
  33554432          0.004588754
  67108864          0.007809730
 134217728          0.014157148
 268435456          0.026861956
 536870912          0.052489281
1073741824          0.103715398

Run 15:
         8          0.000001562
        16          0.000001095
