Run 1:
      4096          0.000003409
      8192          0.000003797
     16384          0.000004325
     32768          0.000007909
     65536          0.000009566
    131072          0.000012722
    262144          0.000018978
    524288          0.000029967
   1048576          0.000050210
   2097152          0.000093646
   4194304          0.000183865
   8388608          0.000354464
  16777216          0.000704132
  33554432          0.001403778
  67108864          0.002823977
 134217728          0.005653386
 268435456          0.011300062
 536870912          0.022593101
1073741824          0.045180926

Run 6:
         8          0.000002334
        16          0.000002260
        32          0.000002257
        64          0.000002273
       128          0.000002900
       256          0.000003067
       512          0.000003109
      1024          0.000003218
      2048          0.000003215
      4096          0.000003367
      8192          0.000003862
     16384          0.000004373
     32768          0.000007887
     65536          0.000009597
    131072          0.000013081
    262144          0.000019377
    524288          0.000030388
   1048576          0.000050839
   2097152          0.000098324
   4194304          0.000181663
   8388608          0.000354302
  16777216          0.000703994
  33554432          0.001403997
  67108864          0.002823711
 134217728          0.005650909
 268435456          0.011303613
 536870912          0.022596204
1073741824          0.045179069

Run 7:
         8          0.000002279
        16          0.000002277
        32          0.000002277
        64          0.000002265
       128          0.000002916
       256          0.000003097
       512          0.000003299
      1024          0.000003194
      2048          0.000003299
      4096          0.000003377
      8192          0.000003777
     16384          0.000004480
     32768          0.000008124
     65536          0.000010285
    131072          0.000014297
    262144          0.000022262
    524288          0.000029493
   1048576          0.000050447
   2097152          0.000093264
   4194304          0.000180247
   8388608          0.000354506
  16777216          0.000704060
  33554432          0.001403743
  67108864          0.002824584
 134217728          0.005654147
 268435456          0.011299893
 536870912          0.022597249
1073741824          0.045172666

Run 8:
         8          0.000002412
        16          0.000002386
        32          0.000002324
        64          0.000002494
       128          0.000003102
       256          0.000003282
       512          0.000003261
      1024          0.000003516
      2048          0.000003407
      4096          0.000003552
      8192          0.000003940
     16384          0.000004492
     32768          0.000007789
     65536          0.000009230
    131072          0.000011967
    262144          0.000017475
    524288          0.000028469
   1048576          0.000049979
   2097152          0.000093363
   4194304          0.000180214
   8388608          0.000354429
  16777216          0.000703833
  33554432          0.001403192
  67108864          0.002814800
 134217728          0.005621181
 268435456          0.011234717
 536870912          0.022462910
1073741824          0.044930078

Run 9:
         8          0.000002306
        16          0.000002303
        32          0.000002253
        64          0.000002253
       128          0.000002867
       256          0.000003234
       512          0.000003143
      1024          0.000003149
      2048          0.000003216
      4096          0.000003434
      8192          0.000003855
     16384          0.000004685
     32768          0.000008078
     65536          0.000009699
    131072          0.000012877
    262144          0.000019223
    524288          0.000029656
   1048576          0.000050779
   2097152          0.000093489
   4194304          0.000185341
   8388608          0.000354548
  16777216          0.000704120
  33554432          0.001403899
  67108864          0.002826955
 134217728          0.005652253
 268435456          0.011299958
 536870912          0.022592963
1073741824          0.045176787

Run 10:
         8          0.000002388
        16          0.000002380
        32          0.000002313
        64          0.000002302
       128          0.000002962
       256          0.000003149
       512          0.000003192
      1024          0.000003594
      2048          0.000003233
      4096          0.000003365
      8192          0.000003849
     16384          0.000004485
     32768          0.000007788
     65536          0.000009225
    131072          0.000011942
    262144          0.000017430
    524288          0.000028255
   1048576          0.000049966
   2097152          0.000093324
   4194304          0.000181872
   8388608          0.000354264
  16777216          0.000703950
  33554432          0.001403057
  67108864          0.002814851
 134217728          0.005621377
